Iteration	pt	walk
678	1918562.102	42665.88701123945
679	1925016.319	42658.683275561874
680	1915301.297	42669.21850867324
681	1922262.766	42658.05033811961
682	1917519.507	42630.18034448413
683	1924711.5	42701.74778816479
684	1916315.522	42719.030101397824
685	1921275.768	42707.771919352264
686	1912586.586	42689.96093886225
687	1925282.411	42652.45605415231
688	1911021.438	42723.336124211906
689	1923947.57	42710.47676360541
690	1909787.969	42723.9384663784
691	1930503.756	42685.665563070645
692	1914955.228	42685.13835044802
693	1927635.061	42677.87970848053
694	1912967.99	42616.089751889966
695	1927867.284	42690.13948463699
696	1917072.31	42633.87261982
697	1911482.887	42704.5137129847
698	1925455.318	42622.61243834722
699	1909562.614	42631.132808132854
700	1923739.676	42604.98276134839
701	1914617.626	42621.205870485035
702	1915948.106	42729.09792308816
703	1917024.526	42736.28496205697
704	1919540.836	42658.71218277009
705	1920981.407	42624.73281677631
706	1915396.667	42633.27800600997
707	1916928.828	42649.75790496573
708	1920372.463	42613.58581577465
709	1921917.06	42592.155065666564
710	1923769.343	42658.755386994424
711	1915832.669	42615.64281357824
712	1915730.304	42627.08744010195
713	1918900.642	42660.98048473651
714	1919215.495	42627.85621698898
715	1923614.453	42625.718373022406
716	1923235.248	42630.17390981242
717	1923288.137	42583.43738148658
718	1920087.345	42606.537567163614
719	1919525.633	42642.81991815978
720	1922322.221	42623.22397290187
721	1919373.115	42608.68184580191
722	1917996.31	42618.03767560941
723	1920392.245	42599.729406475184
724	1917394.336	42644.55824978711
725	1912395.245	42625.11051542302
726	1907197.969	42705.62947919159
727	1918324.053	42683.52496138762
728	1919587.606	42653.85161820793
729	1911972.42	42650.29706769296
730	1922302.853	42640.52796402318
731	1913624.111	42644.541319645126
732	1929378.389	42622.61243834722
733	1918214.757	42671.91022318811
734	1922233.743	42667.374301816206
735	1915795.381	42658.91133564207
736	1919325.34	42564.02920145078
737	1914148.085	42669.138782935304
738	1927334.192	42626.64788275994
739	1914681.241	42661.99153163041
740	1924694.825	42681.368732644725
741	1915607.701	42665.44524097389
742	1931920.72	42577.8305008364
743	1913133.77	42648.40684821655
744	1928002.469	42573.76932017452
745	1913749.699	42676.96810214462
746	1920395.946	42629.58811394461
747	1910888.989	42639.19872096656
748	1928060.768	42620.470310580014
749	1918954.823	42716.54083286689
750	1921555.304	42649.19325159067
751	1914487.67	42670.35357889526
752	1925771.998	42671.035437083425
753	1911439.128	42666.14198964016
754	1923670.824	42634.993356666906
755	1914815.55	42623.99437477018
756	1917665.692	42600.70815360361
757	1913974.666	42614.34666311899
758	1920928.545	42696.331514576705
759	1912053.455	42624.267193154315
760	1921684.646	42702.1656251279
761	1919612.588	42649.10913937493
762	1915602.422	42613.85287817032
763	1922872.613	42633.55412690343
764	1921147.046	42603.00783609667
765	1912397.381	42654.700281782476
766	1922522.611	42652.26831598942
767	1916073.889	42664.930870635464
768	1919977.017	42672.24379837167
769	1912558.4	42607.03906815863
770	1918800.24	42659.846333753296
771	1906830.385	42660.43029114348
772	1926433.14	42744.22952301119
773	1915947.852	42692.81373361436
774	1924845.652	42700.619152614476
775	1911719.574	42602.74039925506
776	1921589.506	42652.70643635893
777	1909734.373	42627.33511400788
778	1918966.469	42672.24158544809
779	1912998.083	42628.99220644983
780	1924896.929	42620.89341073502
781	1914733.061	42663.39261111892
782	1925695.588	42677.33715319604
783	1918794.265	42680.23733937797
784	1922630.018	42643.16360497031
785	1915919.324	42633.28811763694
786	1921324.031	42660.796039685585
787	1918724.114	42572.27934961914
788	1911135.132	42633.36712532231
789	1917539.103	42657.721359130126
790	1917185.321	42667.60603885166
791	1913779.139	42616.78247999434
792	1926003.208	42649.962573270604
793	1912087.877	42641.79875963891
794	1919914.304	42631.55561383596
795	1913453.352	42617.391256832554
796	1925838.848	42649.92127006198
797	1924089.127	42648.84772630251
798	1922091.242	42682.37886029981
799	1923566.165	42671.905626994034
800	1919073.269	42583.35807583025
801	1926398.32	42647.63201110374
802	1908873.917	42667.25315965297
803	1925651.687	42579.00206795051
804	1923228.248	42676.38230627681
805	1920954.999	42642.39850503853
806	1913474.205	42617.25220065321
807	1927518.965	42655.5568572379
808	1920507.14	42651.75856890428
809	1923945.242	42681.96831709477
810	1919760.606	42664.331286185414
811	1918375.203	42641.63269936429
812	1919319.371	42651.33056016174
813	1923479.396	42651.68895479332
814	1919474.318	42606.35343450615
815	1919320.318	42626.47298688127
816	1919013.792	42671.72432350286
817	1921006.89	42644.72706777816
818	1915401.419	42614.76200370436
819	1925026.384	42684.11811116595
820	1912956.407	42561.62106441707
821	1928687.896	42671.301446349906
822	1912532.457	42618.745616091044
823	1930752.918	42624.17735578942
824	1914566.278	42615.483732768225
825	1928086.857	42629.56789069067
826	1907189.83	42627.41352748461
827	1917360.651	42596.60695256053
828	1906034.869	42669.407549918236
829	1920147.281	42686.42845007887
830	1908154.353	42620.11153210513
831	1927592.92	42564.79757683266
832	1914246.946	42689.52059617182
833	1920200.4	42726.74396914598
834	1920354.337	42668.7730343932
835	1925920.309	42690.40462534325
836	1927360.655	42663.73262097418
837	1921053.343	42602.31127008746
838	1925737.999	42628.47602469297
839	1919655.363	42664.6777307124
840	1921327.589	42671.670213003315
841	1912530.873	42625.73124236582
842	1923924.168	42661.21983607735
843	1920238.358	42746.98165924887
844	1931034.857	42668.98413736976
845	1922719.26	42659.86655700725
846	1928081.32	42643.71222048057
847	1922630.518	42696.1663735409
848	1931656.142	42606.974768294305
849	1916761.604	42619.337685680985
850	1918569.46	42647.64855740243
851	1921909.324	42560.67840000186
852	1930978.248	42662.179653636595
853	1918781.44	42646.43468068129
854	1929919.921	42634.05927779449
855	1924391.04	42635.166770852054
856	1927021.496	42604.63723606023
857	1916375.721	42628.969225479435
858	1922296.146	42673.11674599872
859	1917292.008	42625.96415903494
860	1921917.053	42559.82693847419
861	1907006.824	42570.546926447096
862	1924809.636	42647.06830158902
863	1912293.722	42701.40777830952
864	1927654.683	42677.158062628434
865	1907662.319	42653.33819416752
866	1925936.982	42635.592941116956
867	1917180.55	42618.93778949842
868	1922867.627	42658.7305675464
869	1919601.788	42614.03126299548
